tipo,nome,busca,apelidos
centro_custo,ADM Atestado Médico / Declaração de Comparecimento,ADM Atestado,
centro_custo,ADM Atividades Adm,ADM Atividades,
centro_custo,ADM Atrasos/Ausência,ADM Atrasos/Ausência,
centro_custo,ADM Ausência Casamento,ADM Ausência,
centro_custo,ADM Ausência Luto,ADM Ausência,
centro_custo,ADM Ausência Paternidade,ADM Ausência,
centro_custo,ADM COMERCIAL,ADM COMERCIAL,
centro_custo,ADM Compensação de Banco de Horas,ADM Compensação,
centro_custo,ADM DEPARTAMENTO PESSOAL,ADM DEPARTAMENTO,
centro_custo,ADM DESENVOLVIMENTO HUMANO E SOCIAL,ADM DESENVOLVIMENTO,
centro_custo,ADM DESENVOLVIMENTO / INOVAÇÃO,ADM DESENVOLVIMENTO,
centro_custo,ADM Diretoria,ADM Diretoria,
centro_custo,ADM DIRETORIA,ADM DIRETORIA,
centro_custo,ADM Férias,ADM Férias,
centro_custo,ADM FINANCEIRO,ADM FINANCEIRO,
centro_custo,ADM GENTE E GESTAO,ADM GENTE,
centro_custo,ADM HSE,ADM HSE,
centro_custo,ADM LOGISTICA,ADM LOGISTICA,
centro_custo,ADM MARKETING,ADM MARKETING,
centro_custo,ADM MEDICAO,ADM MEDICAO,
centro_custo,ADM MEIO AMBIENTE E SUSTENTABILIDADE,ADM MEIO,
centro_custo,ADM - NÃO UTILIZAR,ADM -,
centro_custo,ADM Qualidade / ISO,ADM Qualidade,
centro_custo,ADM Recesso,ADM Recesso,
centro_custo,ADM Reestruturação Consominas,ADM Reestruturação,
centro_custo,ADM Rituais de Gestão,ADM Rituais,
centro_custo,ADM SUPRIMENTOS,ADM SUPRIMENTOS,
centro_custo,ADM SUSTENTABILIDADE / RITUAL DE GESTÃO,ADM SUSTENTABILIDADE,
centro_custo,ADM Tempo Ocioso TI,ADM Tempo,
centro_custo,ADM Treinamentos,ADM Treinamentos,
centro_custo,AGA CT 15140/2025 - CB,AGA CT,
centro_custo,BH AIRPORT CT 4600084150/2024,BH AIRPORT,
centro_custo,MRN 3686 BAQ,MRN 3686,
centro_custo,AMG CT 20.022/2020 - Geral,AMG CT,
centro_custo,AMG CT 20.022/2020 - OS 001/2024,AMG CT,
centro_custo,AMG CT 20.022/2020 - OS 002/2024,AMG CT,
centro_custo,AMG CT 20.022/2020 - OS 02/2022,AMG CT,
centro_custo,AMG CT 26063/2026,AMG CT,
centro_custo,CCR AEROPORTOS CT 4600080415,CCR AEROPORTOS,
centro_custo,CENTENA CT 205/2024,CENTENA CT,
centro_custo,LICITAÇÃO,LICITAÇÃO,
centro_custo,MACFROTAS CT 4336/2026,MACFROTAS CT,
centro_custo,MRN 3686 PLT02,MRN 3686,
centro_custo,MRN CT 3581/2022,MRN CT 3581/2022,
centro_custo,MRN CT 3686-3687/2023,MRN CT 3686-3687/2023,
centro_custo,MRN CT 3748/2023,MRN CT 3748/2023,
centro_custo,MRN CT 4336/2026,MRN CT 4336/2026,
centro_custo,MRN CT 4337/2026,MRN CT 4337/2026,
centro_custo,MRN CT 4343/2026,MRN CT 4343/2026,
centro_custo,PROPOSTA,PROPOSTA,
centro_custo,RIO GALEÃO CT PR 060/2025,RIO GALEÃO,
centro_custo,SHOPPING DEL REY CT PR029/2026,SHOPPING DEL,
centro_custo,SINDI INVESTIMENTOS CT 13/2025,SINDI INVESTIMENTOS,
centro_custo,SUDECAP DJ 011/2023,SUDECAP DJ,
centro_custo,SUDECAP DJ 114/2022,SUDECAP DJ,
centro_custo,SVPM CT 072/2024,SVPM CT,
centro_custo,SVPM PR 056/2024,SVPM PR,
rateio,PROPOSTA - Acompanhamento de Propostas,Acompanhamento,
rateio,PROPOSTA - PR 007/2025 - STATE GRID - PLANO DE MANEJO,STATE GRID,
rateio,PROPOSTA - PR 007/2026 - JAGUAR - CONTROLE TECNOLOGICO_ROÇA GRANDE,ROÇA,
rateio,PROPOSTA - PR 008/2025 - DIRECIONAL - MONITORAMENTO DE RUÍDO,DIRECIONAL,
rateio,PROPOSTA - PR 008/2026 - JAGUAR - CONTROLE TECNOLOGICO_TURMALINA,TURMALINA,
