mes,dia,centro_custo,centro_custo_busca,rateio,rateio_busca,horas,observacao
2026 - Julho,01,ADM Atividades Adm,ADM Atividades,,,0400,Apoio administrativo e organizacao de demandas internas.
2026 - Julho,01,AGA CT 15140/2025 - CB,AGA 15140,,,0400,Acompanhamento das atividades do contrato AGA CT 15140/2025.
2026 - Julho,02,PROPOSTA,PROP,PROPOSTA - Acompanhamento de Propostas,Acompanhamento,0300,Acompanhamento de propostas comerciais em andamento.
2026 - Julho,02,ADM COMERCIAL,ADM COMERCIAL,,,0300,Apoio em atividades comerciais diversas.
2026 - Julho,02,BH AIRPORT CT 4600084150/2024,BH Airport,,,0200,Suporte administrativo ao contrato BH Airport.
2026 - Julho,03,MRN 3686 BAQ,MRN 3686,,,0500,Acompanhamento das atividades do contrato MRN 3686 BAQ.
2026 - Julho,03,ADM LOGISTICA,ADM LOGISTICA,,,0300,Apoio logistico as equipes de campo.
2026 - Julho,04,ADM Compensação de Banco de Horas,Compensacao Banco,,,0100,Ajuste de banco de horas referente ao periodo.
2026 - Julho,04,ADM DESENVOLVIMENTO HUMANO E SOCIAL,DESENVOLVIMENTO HUMANO,,,0300,Apoio a acoes de desenvolvimento humano e social.
2026 - Julho,04,AGA CT 15140/2025 - CB,AGA 15140,,,0400,Continuidade do acompanhamento do contrato AGA CT 15140/2025.
2026 - Julho,05,ADM MARKETING,ADM MARKETING,,,0200,Apoio a demandas de marketing institucional.
2026 - Julho,05,BH AIRPORT CT 4600084150/2024,BH Airport,,,0400,Acompanhamento do contrato BH Airport.
2026 - Julho,05,ADM Atividades Adm,ADM Atividades,,,0200,Organizacao de documentos administrativos gerais.
